run_id,review_type,record_ids,detail,status
run-PG-20260910T000000Z-A,MULTI_CANDIDATE_AMBIGUITY,PG-R00100|PG-R00112,"same payer/service, amounts 5646/5327, dates within 7d",pending
run-PG-20260910T000000Z-A,MULTI_CANDIDATE_AMBIGUITY,PG-R00100|PG-R00224,"same payer/service, amounts 5646/5486, dates within 7d",pending
run-PG-20260910T000000Z-A,MULTI_CANDIDATE_AMBIGUITY,PG-R00112|PG-R00435,"same payer/service, amounts 5327/5119, dates within 7d",pending
run-PG-20260910T000000Z-A,MULTI_CANDIDATE_AMBIGUITY,PG-R00927|PG-R00966,"same payer/service, amounts 7153/6604, dates within 7d",pending
run-PG-20260910T000000Z-A,MULTI_CANDIDATE_AMBIGUITY,PG-R00928|PG-R00966,"same payer/service, amounts 6477/6604, dates within 7d",pending
